"Length (cm)","Comprimento (cm)"
"Height (cm)","Altura (cm)"
"Width (cm)","Largura (cm)"
"Additional Lead Time (days)","Tempo de Entrega Adicional (dias)"
"Is Product Fragile?","O Produto é Frágil?"
"Enabled","Habilitado"
"API Token","Token API"
"Ship to Applicable Countries","Países Aplicáveis para Entrega"
"Ship to Specific Countries","Enviar para Países Específicos"
"Displayed Error Message","Mostrar Mensagem de Erro"
"Weight Attribute","Atributo Peso"
"Height Attribute","Atributo Altura"
"Length Attribute","Atributo Comprimento"
"Width Attribute","Atributo Largura"
"Debug","Modo Debug"
"Attributes Mapping","Mapeamento de Atributos"
"Default Measurements","Medidas Padrão"
"This attribute will be used to get shipping quotes from Frenet API.","Este atributo será utilizado para obter as cotações da API da Frenet."
"Frenet Shipping Gateway","Frenet Gateway de Fretes"
"Additional Lead Time","Tempo de Entrega Adicional"
"The additional lead time (in days) that will be summed to original lead time.","O tempo de entrega adicionarl (em dias) que será somado ao tempo de entrega original."
"Shipping Quote","Cotação de Entrega"
"%1 - %2 (%3 day(s))","%1 - %2 (%3 dias(s))"
